epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,250.07,0.9777,0.81274,1.18492,0.80814,0.62651,0.70788,0.45217,1.12797,0.87307,1.16321,0.0005941,0.0005941,0.0005941
43,255.932,0.97785,0.80266,1.17429,0.83289,0.61294,0.7098,0.44949,1.14954,0.88854,1.17681,0.0005842,0.0005842,0.0005842
44,261.429,0.96375,0.78654,1.17608,0.81805,0.63247,0.70962,0.44733,1.14636,0.87791,1.18462,0.0005743,0.0005743,0.0005743
45,266.918,0.96685,0.7849,1.17454,0.83811,0.63457,0.71924,0.45976,1.09825,0.83864,1.15767,0.0005644,0.0005644,0.0005644
46,272.378,0.95477,0.77164,1.15889,0.84543,0.61598,0.71225,0.45855,1.11165,0.84867,1.14885,0.0005545,0.0005545,0.0005545
47,277.796,0.95385,0.77042,1.16902,0.82261,0.64475,0.71837,0.46018,1.1127,0.8375,1.15895,0.0005446,0.0005446,0.0005446
48,283.295,0.95135,0.75766,1.15921,0.84086,0.63399,0.72001,0.4586,1.11491,0.8357,1.14471,0.0005347,0.0005347,0.0005347
49,288.802,0.93803,0.75126,1.15349,0.84196,0.62892,0.7235,0.45914,1.1133,0.82205,1.15601,0.0005248,0.0005248,0.0005248
50,294.441,0.93591,0.75305,1.15299,0.82105,0.6489,0.72521,0.46306,1.10702,0.8169,1.14842,0.0005149,0.0005149,0.0005149
51,300.361,0.94251,0.74816,1.15457,0.8335,0.63899,0.72305,0.46794,1.09345,0.80599,1.13713,0.000505,0.000505,0.000505
52,306.235,0.92867,0.73349,1.14149,0.83046,0.64905,0.72989,0.47001,1.08882,0.80806,1.13828,0.0004951,0.0004951,0.0004951
53,312.142,0.91662,0.71676,1.13371,0.84265,0.65154,0.72977,0.47225,1.08965,0.79603,1.13182,0.0004852,0.0004852,0.0004852
54,318.242,0.91909,0.71833,1.14038,0.82623,0.64192,0.72575,0.46501,1.11022,0.80673,1.14675,0.0004753,0.0004753,0.0004753
55,323.966,0.91213,0.7168,1.13718,0.84128,0.64729,0.72995,0.46811,1.09154,0.79253,1.14071,0.0004654,0.0004654,0.0004654
56,329.646,0.91156,0.71292,1.13295,0.84736,0.65093,0.73322,0.48125,1.05598,0.78227,1.11032,0.0004555,0.0004555,0.0004555
57,335.317,0.90947,0.7093,1.13535,0.84608,0.65428,0.73691,0.48155,1.06797,0.77968,1.12117,0.0004456,0.0004456,0.0004456
58,341.025,0.90414,0.70265,1.12772,0.84401,0.64803,0.73278,0.48069,1.04786,0.77273,1.10944,0.0004357,0.0004357,0.0004357
59,346.909,0.89067,0.69436,1.12567,0.8253,0.65669,0.73212,0.47974,1.05919,0.7845,1.11629,0.0004258,0.0004258,0.0004258
60,353.084,0.89406,0.68655,1.12096,0.8602,0.64619,0.73711,0.48183,1.08053,0.7733,1.13887,0.0004159,0.0004159,0.0004159
61,359.19,0.87855,0.672,1.11938,0.84619,0.66015,0.73974,0.48657,1.05494,0.75647,1.11535,0.000406,0.000406,0.000406
62,365.153,0.88433,0.67925,1.10994,0.84978,0.66029,0.74432,0.49496,1.03503,0.74326,1.10309,0.0003961,0.0003961,0.0003961
63,371.064,0.86223,0.6576,1.10734,0.86505,0.64556,0.73892,0.4852,1.06448,0.747,1.12128,0.0003862,0.0003862,0.0003862
64,376.971,0.8733,0.66319,1.10815,0.84587,0.66748,0.74671,0.49405,1.04481,0.74688,1.11183,0.0003763,0.0003763,0.0003763
65,382.921,0.87226,0.66294,1.10454,0.85869,0.65487,0.74239,0.48721,1.05716,0.75545,1.11173,0.0003664,0.0003664,0.0003664
66,388.82,0.86619,0.65566,1.10288,0.87189,0.6447,0.74158,0.48635,1.05853,0.76712,1.11252,0.0003565,0.0003565,0.0003565
67,394.747,0.86177,0.65307,1.10746,0.84261,0.66479,0.74082,0.48213,1.08177,0.75501,1.12063,0.0003466,0.0003466,0.0003466
68,400.651,0.85343,0.64341,1.09563,0.84562,0.66163,0.7433,0.49254,1.04987,0.73774,1.10566,0.0003367,0.0003367,0.0003367
69,406.652,0.84077,0.63271,1.08848,0.85959,0.65417,0.7446,0.49144,1.0535,0.73155,1.10956,0.0003268,0.0003268,0.0003268
70,412.769,0.84425,0.63303,1.09753,0.85495,0.66412,0.75042,0.50153,1.02351,0.71734,1.09349,0.0003169,0.0003169,0.0003169
71,418.928,0.84425,0.63774,1.09089,0.85091,0.6695,0.74993,0.49791,1.02646,0.72322,1.09564,0.000307,0.000307,0.000307
72,425.134,0.84415,0.67712,1.10228,0.84623,0.67376,0.75487,0.49943,1.03879,0.71356,1.09821,0.0002971,0.0002971,0.0002971
73,431.079,0.82431,0.60971,1.0814,0.84983,0.67923,0.75394,0.50349,1.01634,0.71225,1.09046,0.0002872,0.0002872,0.0002872
74,437.092,0.83039,0.6229,1.08631,0.85562,0.67575,0.75404,0.50597,1.02077,0.70777,1.08597,0.0002773,0.0002773,0.0002773
75,442.99,0.82039,0.61736,1.07828,0.83331,0.68303,0.75472,0.50055,1.03221,0.71491,1.10078,0.0002674,0.0002674,0.0002674
76,448.829,0.82067,0.6122,1.07941,0.85576,0.67447,0.75203,0.49864,1.04452,0.71274,1.10474,0.0002575,0.0002575,0.0002575
77,454.896,0.81149,0.60266,1.06986,0.8699,0.65632,0.75265,0.49776,1.03935,0.71246,1.09447,0.0002476,0.0002476,0.0002476
78,461.283,0.80847,0.5894,1.07047,0.85864,0.67628,0.75567,0.50075,1.03296,0.70709,1.09779,0.0002377,0.0002377,0.0002377
79,467.275,0.80494,0.59475,1.06523,0.85914,0.68265,0.75946,0.5069,1.0105,0.68903,1.08447,0.0002278,0.0002278,0.0002278
80,473.305,0.79633,0.58015,1.06163,0.87121,0.66411,0.75369,0.50746,1.0085,0.69606,1.08003,0.0002179,0.0002179,0.0002179
81,479.25,0.79753,0.58661,1.06312,0.85934,0.67223,0.75811,0.50667,1.02403,0.69766,1.0956,0.000208,0.000208,0.000208
82,485.443,0.7967,0.58262,1.05889,0.87456,0.67572,0.76295,0.51244,1.0103,0.69191,1.08348,0.0001981,0.0001981,0.0001981
83,491.333,0.78699,0.57357,1.05543,0.86491,0.68051,0.75947,0.50841,1.00657,0.68953,1.07805,0.0001882,0.0001882,0.0001882
84,497.094,0.78169,0.56556,1.05217,0.87293,0.67429,0.75982,0.50977,1.00661,0.68978,1.0799,0.0001783,0.0001783,0.0001783
85,503.168,0.77369,0.5595,1.05303,0.8474,0.68943,0.76156,0.51369,0.99474,0.68262,1.07114,0.0001684,0.0001684,0.0001684
86,509.159,0.77608,0.56652,1.0521,0.85926,0.68998,0.76459,0.51863,0.98824,0.67572,1.06985,0.0001585,0.0001585,0.0001585
87,515.115,0.76513,0.55551,1.04428,0.86922,0.68367,0.76538,0.51748,0.99279,0.67698,1.07433,0.0001486,0.0001486,0.0001486
88,521.003,0.75857,0.54843,1.04159,0.86504,0.6928,0.76914,0.52173,0.98497,0.66978,1.06913,0.0001387,0.0001387,0.0001387
89,526.9,0.76623,0.54906,1.04289,0.8589,0.68799,0.76574,0.51911,0.98611,0.67709,1.07177,0.0001288,0.0001288,0.0001288
90,532.864,0.76233,0.54654,1.04234,0.8643,0.69458,0.76929,0.51948,0.98945,0.67145,1.06571,0.0001189,0.0001189,0.0001189
91,539.501,0.75406,0.55189,1.04282,0.86145,0.68992,0.7654,0.51714,0.98626,0.67234,1.06858,0.000109,0.000109,0.000109
92,545.545,0.74753,0.53551,1.03178,0.86033,0.69231,0.767,0.51943,0.9892,0.66752,1.07079,9.91e-05,9.91e-05,9.91e-05
93,551.531,0.74865,0.53629,1.03265,0.86152,0.69323,0.76836,0.52147,0.98554,0.66789,1.06963,8.92e-05,8.92e-05,8.92e-05
94,557.633,0.74387,0.53118,1.03138,0.86869,0.69164,0.76903,0.51992,0.99094,0.66813,1.07151,7.93e-05,7.93e-05,7.93e-05
95,563.598,0.749,0.54211,1.0294,0.86207,0.69313,0.7692,0.52229,0.97606,0.66342,1.06347,6.94e-05,6.94e-05,6.94e-05
96,569.714,0.7377,0.52883,1.02455,0.86544,0.69537,0.77044,0.52294,0.97813,0.66387,1.06008,5.95e-05,5.95e-05,5.95e-05
97,575.822,0.73217,0.52722,1.02465,0.86529,0.69888,0.77106,0.5238,0.97405,0.65855,1.06046,4.96e-05,4.96e-05,4.96e-05
98,581.768,0.73092,0.52528,1.02689,0.87588,0.69529,0.77138,0.52484,0.97429,0.65675,1.06073,3.97e-05,3.97e-05,3.97e-05
99,587.83,0.72294,0.51652,1.01863,0.86971,0.69638,0.772,0.52583,0.97152,0.65575,1.0571,2.98e-05,2.98e-05,2.98e-05
100,593.861,0.72387,0.52518,1.023,0.87029,0.69769,0.77194,0.52561,0.97299,0.65611,1.05995,1.99e-05,1.99e-05,1.99e-05
