epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,278.828,0.92308,0.84464,1.15066,0.82476,0.66392,0.75142,0.43879,1.41454,0.91207,1.44607,0.000424187,0.000424187,0.000424187
43,285.329,0.91971,0.82536,1.14566,0.86766,0.68626,0.75963,0.44426,1.42928,0.89066,1.46806,0.000417119,0.000417119,0.000417119
44,291.812,0.91053,0.82126,1.14022,0.89035,0.68001,0.77122,0.44015,1.44388,0.89353,1.48853,0.00041005,0.00041005,0.00041005
45,298.279,0.90966,0.8069,1.13924,0.88021,0.68806,0.76867,0.4308,1.4924,0.88512,1.50226,0.000402982,0.000402982,0.000402982
46,304.992,0.90885,0.81526,1.14043,0.84502,0.67257,0.74631,0.42431,1.4469,0.90858,1.50474,0.000395913,0.000395913,0.000395913
47,311.422,0.90452,0.80966,1.13732,0.87085,0.68788,0.76169,0.43366,1.42976,0.8835,1.4816,0.000388844,0.000388844,0.000388844
48,317.832,0.88894,0.79132,1.12822,0.88614,0.68786,0.77185,0.45694,1.3616,0.88712,1.44,0.000381776,0.000381776,0.000381776
49,324.238,0.88958,0.78756,1.12849,0.86939,0.71161,0.77275,0.43568,1.46413,0.87976,1.47983,0.000374707,0.000374707,0.000374707
50,330.614,0.89106,0.78245,1.12716,0.86994,0.68839,0.76558,0.43226,1.47706,0.90164,1.5016,0.000367639,0.000367639,0.000367639
51,337.148,0.89223,0.7891,1.12878,0.85085,0.70953,0.76803,0.4477,1.376,0.87266,1.4469,0.00036057,0.00036057,0.00036057
52,343.585,0.87901,0.77746,1.12458,0.87404,0.67373,0.7496,0.44749,1.39826,0.88188,1.44796,0.000353501,0.000353501,0.000353501
53,349.974,0.88165,0.77993,1.12418,0.90497,0.67789,0.77424,0.46262,1.37772,0.87245,1.42992,0.000346433,0.000346433,0.000346433
54,356.37,0.88924,0.77246,1.12174,0.85973,0.68947,0.76238,0.44726,1.44521,0.84968,1.47677,0.000339364,0.000339364,0.000339364
55,362.761,0.87358,0.7634,1.12174,0.87903,0.67621,0.76169,0.45749,1.35518,0.86241,1.41306,0.000332296,0.000332296,0.000332296
56,369.258,0.8777,0.76718,1.12011,0.87402,0.69801,0.76925,0.45975,1.38651,0.85661,1.42482,0.000325227,0.000325227,0.000325227
57,375.704,0.86452,0.75553,1.11295,0.87337,0.71282,0.76233,0.45936,1.38848,0.86388,1.44615,0.000318158,0.000318158,0.000318158
58,382.13,0.87051,0.75765,1.11572,0.88562,0.66777,0.75572,0.44545,1.39653,0.90282,1.44749,0.00031109,0.00031109,0.00031109
59,388.574,0.86014,0.75185,1.11008,0.86646,0.69223,0.76254,0.44462,1.45555,0.87808,1.49974,0.000304021,0.000304021,0.000304021
60,395.011,0.86309,0.74838,1.11118,0.91218,0.67438,0.76855,0.46614,1.3566,0.85335,1.4333,0.000296953,0.000296953,0.000296953
61,401.554,0.85543,0.74357,1.10777,0.84072,0.70471,0.76937,0.46313,1.38314,0.85425,1.43704,0.000289884,0.000289884,0.000289884
62,407.949,0.84752,0.73674,1.11097,0.89428,0.69731,0.77384,0.4685,1.33426,0.80871,1.40688,0.000282815,0.000282815,0.000282815
63,414.448,0.85358,0.73496,1.10368,0.88054,0.72734,0.785,0.45468,1.45126,0.82452,1.48387,0.000275747,0.000275747,0.000275747
64,420.857,0.8513,0.73124,1.10251,0.87937,0.70201,0.77644,0.46426,1.39029,0.8092,1.45118,0.000268678,0.000268678,0.000268678
65,427.265,0.84088,0.72351,1.09861,0.87175,0.70345,0.78156,0.45408,1.39866,0.82396,1.46812,0.00026161,0.00026161,0.00026161
66,433.777,0.84484,0.7242,1.0982,0.86811,0.71285,0.78203,0.4539,1.38595,0.82404,1.44964,0.000254541,0.000254541,0.000254541
67,440.146,0.83437,0.71351,1.09458,0.85929,0.71322,0.78026,0.47663,1.33659,0.81619,1.41096,0.000247472,0.000247472,0.000247472
68,446.603,0.8444,0.71936,1.09776,0.90492,0.70426,0.79019,0.47475,1.348,0.79868,1.41563,0.000240404,0.000240404,0.000240404
69,453.012,0.83824,0.71013,1.09321,0.86833,0.72649,0.78142,0.46632,1.38275,0.82832,1.45704,0.000233335,0.000233335,0.000233335
70,459.499,0.81857,0.70047,1.08672,0.90821,0.71213,0.7976,0.46999,1.38838,0.79996,1.46893,0.000226267,0.000226267,0.000226267
71,465.89,0.83339,0.70417,1.09069,0.88969,0.71977,0.78834,0.47229,1.36907,0.80085,1.43828,0.000219198,0.000219198,0.000219198
72,472.359,0.82191,0.70734,1.0903,0.85816,0.73122,0.79524,0.48636,1.33148,0.77704,1.41263,0.000212129,0.000212129,0.000212129
73,478.804,0.82339,0.70027,1.08654,0.887,0.72109,0.79692,0.48459,1.32976,0.80241,1.41188,0.000205061,0.000205061,0.000205061
74,485.265,0.82248,0.69329,1.07918,0.88683,0.72301,0.80003,0.48458,1.34935,0.78623,1.42972,0.000197992,0.000197992,0.000197992
75,491.674,0.82589,0.69642,1.08197,0.88594,0.72642,0.79545,0.49939,1.28943,0.77661,1.38123,0.000190924,0.000190924,0.000190924
76,498.13,0.8209,0.68908,1.08286,0.86617,0.74325,0.79235,0.48489,1.33279,0.7752,1.40824,0.000183855,0.000183855,0.000183855
77,504.614,0.80662,0.68116,1.07877,0.91991,0.7023,0.79497,0.49194,1.30302,0.78025,1.3909,0.000176786,0.000176786,0.000176786
78,511.196,0.80529,0.6788,1.07713,0.88328,0.72434,0.78937,0.48839,1.32877,0.78085,1.39815,0.000169718,0.000169718,0.000169718
79,517.602,0.80819,0.6756,1.0732,0.89625,0.72854,0.797,0.48641,1.30847,0.77062,1.39252,0.000162649,0.000162649,0.000162649
80,524.029,0.81139,0.67873,1.07691,0.87925,0.72446,0.79465,0.49089,1.30918,0.77743,1.40577,0.000155581,0.000155581,0.000155581
81,530.419,0.79446,0.66687,1.07138,0.90869,0.71916,0.79844,0.49409,1.29043,0.75758,1.36994,0.000148512,0.000148512,0.000148512
82,536.95,0.80027,0.66878,1.07224,0.91841,0.69602,0.79916,0.48842,1.32086,0.7576,1.40486,0.000141443,0.000141443,0.000141443
83,543.338,0.79971,0.66616,1.06912,0.89079,0.7153,0.7976,0.4854,1.33055,0.76251,1.40711,0.000134375,0.000134375,0.000134375
84,549.778,0.79592,0.67146,1.07056,0.90205,0.73737,0.80388,0.48796,1.31711,0.74803,1.3984,0.000127306,0.000127306,0.000127306
85,556.21,0.78509,0.65816,1.06545,0.87688,0.74051,0.80332,0.49366,1.32518,0.74981,1.4155,0.000120238,0.000120238,0.000120238
86,562.626,0.78649,0.65628,1.06615,0.86395,0.72975,0.79498,0.49194,1.29193,0.75696,1.37159,0.000113169,0.000113169,0.000113169
87,569.204,0.78876,0.65626,1.064,0.90855,0.72508,0.79897,0.49103,1.31936,0.74822,1.38274,0.0001061,0.0001061,0.0001061
88,575.651,0.78458,0.657,1.06636,0.90472,0.73222,0.80449,0.49827,1.3104,0.743,1.40085,9.90318e-05,9.90318e-05,9.90318e-05
89,582.053,0.77286,0.65225,1.06321,0.89167,0.74389,0.80319,0.49662,1.31808,0.74107,1.40585,9.19632e-05,9.19632e-05,9.19632e-05
90,588.454,0.77102,0.63922,1.05846,0.87313,0.73596,0.80015,0.48838,1.32353,0.75233,1.40072,8.48946e-05,8.48946e-05,8.48946e-05
91,595.856,0.78937,0.58521,1.06447,0.91443,0.70045,0.78389,0.4774,1.33751,0.76993,1.42143,7.7826e-05,7.7826e-05,7.7826e-05
92,602.136,0.76992,0.56263,1.05199,0.87504,0.70387,0.78354,0.48572,1.30561,0.76169,1.37556,7.07574e-05,7.07574e-05,7.07574e-05
93,608.418,0.77074,0.55742,1.04992,0.88231,0.71883,0.79284,0.49493,1.29676,0.74768,1.37497,6.36888e-05,6.36888e-05,6.36888e-05
94,614.719,0.76507,0.55114,1.04826,0.89639,0.72449,0.79655,0.4982,1.27996,0.72755,1.36456,5.66202e-05,5.66202e-05,5.66202e-05
95,620.987,0.76046,0.55082,1.04627,0.86811,0.73288,0.79441,0.49841,1.28003,0.73709,1.36948,4.95516e-05,4.95516e-05,4.95516e-05
96,627.337,0.75635,0.54496,1.04517,0.89457,0.72826,0.79861,0.49902,1.28994,0.74043,1.38052,4.2483e-05,4.2483e-05,4.2483e-05
97,633.701,0.74622,0.53749,1.03999,0.88352,0.73235,0.79022,0.4967,1.30648,0.74294,1.38661,3.54144e-05,3.54144e-05,3.54144e-05
98,639.99,0.74726,0.5364,1.04369,0.89017,0.72494,0.79582,0.49909,1.28454,0.74206,1.3739,2.83458e-05,2.83458e-05,2.83458e-05
99,646.27,0.74688,0.53579,1.0442,0.8715,0.73042,0.79609,0.49816,1.28723,0.74314,1.38102,2.12772e-05,2.12772e-05,2.12772e-05
100,652.567,0.74331,0.53626,1.03709,0.88603,0.73781,0.79909,0.49872,1.28918,0.73711,1.38131,1.42086e-05,1.42086e-05,1.42086e-05
