epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.16532,2.66711,3.60478,2.45915,0.46386,0.0694,0.06174,0.01953,2.65799,3.19229,2.56451,0.00331288,0.00331288,0.00331288
2,16.226,1.92134,2.5783,1.94891,0.28097,0.24855,0.18437,0.07626,2.1583,2.60615,2.10088,0.00663306,0.00663306,0.00663306
3,22.6923,1.55785,2.1631,1.67484,0.42458,0.32238,0.31599,0.12324,2.15101,2.14208,2.05209,0.00994003,0.00994003,0.00994003
4,29.0995,1.41671,1.94686,1.54888,0.55633,0.37366,0.39531,0.17023,2.07404,2.09816,1.95285,0.0099406,0.0099406,0.0099406
5,35.4701,1.33628,1.79233,1.48128,0.57178,0.42941,0.43608,0.20144,1.93636,1.87166,1.86658,0.0099208,0.0099208,0.0099208
6,41.8722,1.31013,1.71371,1.44454,0.66488,0.45768,0.51327,0.24588,1.79488,1.65035,1.76555,0.009901,0.009901,0.009901
7,48.3838,1.26201,1.61744,1.41326,0.63865,0.48039,0.52533,0.26042,1.73988,1.60405,1.69954,0.0098812,0.0098812,0.0098812
8,54.7648,1.24434,1.56978,1.4013,0.71778,0.49872,0.54687,0.2579,1.80927,1.58319,1.76688,0.0098614,0.0098614,0.0098614
9,61.1153,1.21266,1.5021,1.37426,0.67465,0.49266,0.54075,0.2567,1.78322,1.53975,1.72561,0.0098416,0.0098416,0.0098416
10,67.4748,1.19969,1.45119,1.35354,0.70027,0.50727,0.56938,0.2696,1.7754,1.50312,1.72232,0.0098218,0.0098218,0.0098218
11,73.8525,1.17938,1.4119,1.34415,0.7401,0.54476,0.60067,0.2923,1.74082,1.4081,1.68197,0.009802,0.009802,0.009802
12,80.3245,1.17466,1.37681,1.33428,0.78905,0.5281,0.6031,0.29961,1.71961,1.39466,1.66644,0.0097822,0.0097822,0.0097822
13,86.7563,1.16313,1.35981,1.32198,0.75221,0.55691,0.62375,0.30151,1.72285,1.35258,1.66648,0.0097624,0.0097624,0.0097624
14,92.8287,1.14958,1.32842,1.31166,0.7382,0.56732,0.63284,0.30673,1.71433,1.33279,1.66372,0.0097426,0.0097426,0.0097426
15,98.8541,1.14582,1.30696,1.30567,0.77809,0.53398,0.60344,0.31199,1.64509,1.40781,1.60612,0.0097228,0.0097228,0.0097228
16,104.949,1.1248,1.26423,1.29421,0.74622,0.581,0.62513,0.30414,1.75242,1.32242,1.69639,0.009703,0.009703,0.009703
17,111.383,1.11567,1.26093,1.28846,0.74337,0.59699,0.63253,0.32158,1.63057,1.2828,1.5987,0.0096832,0.0096832,0.0096832
18,118.221,1.12081,1.24342,1.28648,0.80086,0.586,0.64109,0.33548,1.64624,1.2569,1.60784,0.0096634,0.0096634,0.0096634
19,124.785,1.12055,1.22038,1.27687,0.7917,0.59406,0.6467,0.31944,1.67517,1.23224,1.64131,0.0096436,0.0096436,0.0096436
20,130.912,1.10681,1.20909,1.27491,0.78056,0.60592,0.65343,0.32663,1.6935,1.25219,1.64795,0.0096238,0.0096238,0.0096238
21,136.883,1.09912,1.1907,1.27089,0.81658,0.58729,0.66519,0.3598,1.57166,1.21161,1.55244,0.009604,0.009604,0.009604
22,142.791,1.09657,1.17353,1.26411,0.74762,0.61708,0.66724,0.33043,1.72306,1.22526,1.65512,0.0095842,0.0095842,0.0095842
23,148.916,1.08717,1.16106,1.26124,0.80509,0.59348,0.6744,0.3516,1.62034,1.18942,1.58971,0.0095644,0.0095644,0.0095644
24,154.868,1.07992,1.14971,1.25057,0.83024,0.58411,0.66644,0.35828,1.57727,1.17755,1.55506,0.0095446,0.0095446,0.0095446
25,160.876,1.0759,1.13131,1.25213,0.8382,0.58828,0.66266,0.34794,1.58484,1.16752,1.55684,0.0095248,0.0095248,0.0095248
26,167.018,1.06736,1.12775,1.24148,0.8066,0.62981,0.69171,0.37573,1.54507,1.13779,1.54124,0.009505,0.009505,0.009505
27,173.135,1.06656,1.12469,1.24993,0.83584,0.61339,0.69244,0.36557,1.58257,1.10733,1.55279,0.0094852,0.0094852,0.0094852
28,179.311,1.06776,1.10716,1.24213,0.82063,0.61805,0.69021,0.37885,1.54465,1.1017,1.52285,0.0094654,0.0094654,0.0094654
29,185.481,1.06033,1.1006,1.23957,0.82098,0.62617,0.69424,0.37059,1.5528,1.08453,1.5286,0.0094456,0.0094456,0.0094456
30,191.686,1.04137,1.08993,1.22896,0.80968,0.62174,0.69046,0.36031,1.60559,1.09168,1.59041,0.0094258,0.0094258,0.0094258
31,197.828,1.04834,1.07781,1.22934,0.82523,0.62571,0.69592,0.38661,1.5178,1.08853,1.51325,0.009406,0.009406,0.009406
32,204.022,1.04038,1.05996,1.22093,0.84487,0.60453,0.68269,0.36546,1.59039,1.13495,1.56525,0.0093862,0.0093862,0.0093862
33,210.145,1.04508,1.0609,1.22352,0.83482,0.63528,0.70263,0.36322,1.57026,1.08433,1.55281,0.0093664,0.0093664,0.0093664
34,216.457,1.03857,1.05497,1.22272,0.7924,0.64023,0.7023,0.3842,1.57507,1.0656,1.54955,0.0093466,0.0093466,0.0093466
35,222.467,1.02337,1.04384,1.21495,0.86012,0.63515,0.70583,0.3988,1.46754,1.04172,1.47081,0.0093268,0.0093268,0.0093268
