epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,286.842,0.92429,0.84797,1.1532,0.85171,0.67573,0.73765,0.42691,1.44155,0.9416,1.50794,0.000424187,0.000424187,0.000424187
43,293.23,0.91948,0.82397,1.14663,0.84165,0.71036,0.76534,0.44658,1.41609,0.88358,1.46211,0.000417119,0.000417119,0.000417119
44,299.638,0.90999,0.82322,1.14161,0.86228,0.70066,0.77244,0.43877,1.45874,0.87396,1.50153,0.00041005,0.00041005,0.00041005
45,306.032,0.90497,0.80772,1.13793,0.84322,0.69642,0.7658,0.42012,1.49541,0.87761,1.5297,0.000402982,0.000402982,0.000402982
46,312.414,0.91075,0.81657,1.14256,0.85182,0.67639,0.75037,0.42971,1.44461,0.91327,1.48509,0.000395913,0.000395913,0.000395913
47,318.796,0.90266,0.80682,1.1351,0.87926,0.66898,0.75863,0.42498,1.44246,0.90428,1.50619,0.000388844,0.000388844,0.000388844
48,325.21,0.89504,0.79629,1.13171,0.86929,0.67399,0.75377,0.44678,1.34303,0.88654,1.43635,0.000381776,0.000381776,0.000381776
49,331.688,0.89007,0.7924,1.13108,0.84612,0.68774,0.74787,0.43069,1.42835,0.90244,1.481,0.000374707,0.000374707,0.000374707
50,338.091,0.8937,0.79081,1.1286,0.88056,0.67426,0.75902,0.43264,1.43873,0.88853,1.49231,0.000367639,0.000367639,0.000367639
51,344.454,0.89139,0.79082,1.12934,0.87622,0.68983,0.77008,0.45661,1.38553,0.88508,1.45733,0.00036057,0.00036057,0.00036057
52,350.844,0.88051,0.78366,1.12733,0.84796,0.68559,0.76621,0.45038,1.39143,0.87749,1.46168,0.000353501,0.000353501,0.000353501
53,357.229,0.87952,0.77765,1.1249,0.84894,0.69844,0.76729,0.43807,1.47176,0.87772,1.53948,0.000346433,0.000346433,0.000346433
54,363.626,0.89357,0.77471,1.12356,0.81222,0.70917,0.76611,0.45952,1.36245,0.84654,1.42348,0.000339364,0.000339364,0.000339364
55,370.082,0.87371,0.76646,1.12162,0.86383,0.71557,0.77163,0.44508,1.40179,0.86114,1.46479,0.000332296,0.000332296,0.000332296
